,Accuracy,Precision,Recall,F1,IoU
U-Net,0.9888543023003472,0.851739110971843,0.7252967590933695,0.7834490369016149,0.643971388857532
ResU-Net,0.9900718265109592,0.8368972846845983,0.7984554041794049,0.8172245219637235,0.6909164908296324
Attn-U-Net,0.9932518005371094,0.90751392911945,0.8431693947410553,0.874159203901452,0.7764243837326751
Attn-ResU-Net,0.9934569464789497,0.8914484212169704,0.8706381940579566,0.880920423339196,0.7871574016211312
ASDMS,0.9953647189670138,0.9502368692070031,0.8792989090243735,0.9133926238011895,0.8405623162767175
