,IoU,F1,Accuracy,Precision,Recall,TP,FP,FN,TN
unet,0.7570802404635573,0.8617480556992918,0.9894943237304688,0.8499779088014382,0.8738487563435875,55790.0,9847.0,8054.0,1630245.0
resunet,0.7907703318331337,0.8831621987211018,0.9910783034104568,0.8670097181143237,0.8999279493766055,57455.0,8813.0,6389.0,1631279.0
attnunet,0.6598339499268692,0.7950601925643717,0.9814370962289664,0.6779897009746503,0.9609986842929641,61354.0,29140.0,2490.0,1610952.0
attnresunet,0.3978590375142099,0.5692405698098375,0.9440454336313101,0.39999873010229026,0.9867332873880083,62997.0,94496.0,847.0,1545596.0
asdms,0.739070979257532,0.8499606836899392,0.9893616896409255,0.9012304505801197,0.80421026251488,51344.0,5627.0,12500.0,1634465.0
